,Name,Marathi Name,Line,Fast Local,Long Distance Trains,Latitude,Longitude
0,Airoli,ऐरोली,Trans-Harbour Line,N,N,19.15559,72.99816
1,Ambarnath,अंबरनाथ,Central Line,Y,Y,19.1436074,73.2955345448486
2,Ambivli,आंबिवली,Central Line,N,Y,19.26608,73.17536
3,Andheri,अंधेरी,,Y,Y,19.10393,72.86698
4,Asangaon,आसनगांव,Central Line,Y,Y,19.01843,73.10518
5,Atgaon,आटगांव,Central Line,N,Y,20.02754,73.84776
6,Badlapur,बदलापूर,Central Line,Y,Y,19.02688,73.05716
7,Baman Dongari,बामणडोंगरी,Nerul–Uran line,N,N,18.97791,73.02489
8,Bandra,वांद्रे,,Y,N,19.0446,72.81907
9,Bhandup,भांडुप,Central Line,Y,N,19.15628,72.93748
10,Bhayandar,भाईंदर,Western Line,Y,Y,19.27414,72.91312
11,Bhivpuri Road,भिवपुरी रोड,Central Line,N,Y,19.05525,72.89202
12,Bhiwandi,भिवंडी रोड,Central Line,Y,Y,19.22755,73.02415
13,Boisar,बोईसर,Western Line,Y,Y,19.21145,72.85231
14,Borivali,बोरिवली,,Y,Y,19.23497,72.85508
15,Byculla,भायखळा,Central Line,Y,N,18.98065,72.84072
16,CBD Belapur,सी.बी.डी.बेलापूर,,N,N,19.02259,73.0384
17,Charni Road,चर्नीरोड,Western Line,N,N,18.9572,72.82478
18,Chembur,चेंबूर,Harbour Line,N,N,19.04751,72.90031
19, Chhatrapati Shivaji Maharaj Terminus,छत्रपती शिवाजी महाराज टर्मिनस,,Y,Y,18.92431,72.83317
20,Chinchpokli,चिंचपोकळी,Central Line,N,N,18.98588,72.83109
21,Chunabhatti,चुनाभट्टी,Harbour Line,N,N,19.05262,72.87258
22,Churchgate,चर्चगेट,Western Line,Y,N,18.93604,72.82891
23,Cotton Green,कॉटन ग्रीन,Harbour Line,N,N,18.98539,72.84121
24,Currey Road,करीरोड,Central Line,N,N,18.99523,72.83456
25,Dadar,दादर,,Y,Y,19.01991,72.84086
26,Dahanu Road,डहाणू रोड,Western Line,Y,Y,19.10231,72.84759
27,Dahisar,दहिसर,Western Line,N,N,19.2535,72.86541
28,Dativali,दातिवली,Central Line,N,Y,19.187695,73.0583421
29,Diva,दिवा,Central Line,Y,Y,19.14241,72.99239
30,Dockyard Road,डॉकयार्डरोड,Harbour Line,N,N,18.9613,72.84649
31,Dolavli,डोलवली,Central Line,N,Y,18.8331631,73.3203444
32,Dombivli,डोंबिवली,Central Line,Y,Y,19.21498,73.16211
33,Prabhadevi,प्रभादेवी,,N,N,19.01421,72.82791
34,Gavan,गव्हाण,Nerul–Uran line,,,18.95056,73.01177
35,Ghansoli,घणसोली,Trans-Harbour Line,N,N,19.13215,73.00368
36,Ghatkopar,घाटकोपर,,Y,N,19.07856,72.91028
37,Goregaon,गोरेगांव,,Y,N,19.16153,72.85618
38,Govandi,गोवंडी,Harbour Line,N,N,19.06117,72.91689
39,Grant Road,ग्रँट रोड,Western Line,N,N,18.95929,72.83085
40,Guru Tegh Bahadur Nagar,गुरु तेग बहादूर नगर,Harbour Line,N,N,19.03619,72.86501
41,Jogeshwari,जोगेश्वरी,,N,N,19.14059,72.85502
42,Juchandra,जुचंद्र,Central Line,N,Y,19.30311,72.84991
43,Juinagar,जुईनगर,,N,N,19.05106,73.01602
44,Kalamboli,कळंबोली,Central Line,N,Y,19.03561,73.10248
45,Kalwa,कळवा,Central Line,N,Y,19.18066,72.99755
46,Kalyan,कल्याण,Central Line,Y,Y,19.2716301,73.2358655251741
47,Kaman Road,कामण रोड,Central Line,N,Y,18.93425,72.83878
48,Kandivali,कांदिवली,,N,N,19.2071,72.83498
49,Kanjurmarg,कांजुरमार्ग,Central Line,N,N,19.13139,72.93568
50,Karjat,कर्जत,Central Line,Y,Y,18.9617775,73.3775039686973
51,Kasara,कसारा,Central Line,Y,Y,19.09177,72.91595
52,Kelavli,केळवली,Central Line,N,Y,18.8445032,73.3190229
53,Kelve Road,केळवे रोड,Western Line,N,Y,19.6239393,72.7912034
54,Khadavli,खडवली,Central Line,N,Y,,
55,Khandeshwar,खांदेश्वर,Harbour Line,N,N,19.00277,73.09959
56,Khar Road,खार रोड,,N,N,19.07394,72.83513
57,Kharbao,खारबाव,Central Line,N,Y,19.26647,72.98369
58,Khardi,खर्डी,Central Line,N,Y,19.27898,72.96718
59,Kharghar,खारघर,Harbour Line,N,N,19.05094,73.07564
60,Kharkopar,खारकोपर,Nerul–Uran line,N,N,18.96655,73.021
61,Khopoli,खोपोली,Central Line,Y,Y,18.79844,73.32275
62,King's Circle,किंग्जसर्कल,Harbour Line,N,N,19.02662,72.85594
63,Kopar,कोपर,Central Line,N,Y,19.01253,73.08112
64,Kopar Khairane,कोपरखैरणे,Trans-Harbour Line,N,N,19.10531,73.00427
65,Kurla,कुर्ला,,Y,N,19.07664,72.87873
66,Lower Parel,लोअर परळ,Western Line,N,N,18.99815,72.82813
67,Lowjee,लवजी,Central Line,N,Y,18.809181,73.3353859
68,Mahalaxmi,महालक्ष्मी,Western Line,N,N,18.98404,72.81987
69,Mahim,माहिम,,N,N,19.04086,72.84301
70,Malad,मालाड,,N,N,19.17929,72.81669
71,Mankhurd,मानखुर्द,Harbour Line,N,N,19.04555,72.9299
72,Mansarovar,मानसरोवर,Harbour Line,N,N,19.02317,73.09275
73,Marine Lines,मरीन लाईन्स,Western Line,N,N,18.94343,72.8232
74,Masjid,मशीद,,N,N,18.95668,72.83102
75,Matunga,माटुंगा,Central Line,N,N,19.04826,72.83847
76,Matunga Road,माटुंगा रोड,Western Line,N,N,19.02785,72.84637
77,Mumbai Central,मुंबई सेंट्रल,Western Line,Y,N,18.96972,72.81507
78,Mulund ,,Western Line,N,Y,19.17435,72.95063
79,Mumbra,मुंब्रा,Central Line,N,Y,19.1688,73.0326
80,Nahur,नाहूर,Central Line,N,N,19.15365,72.94667
81,Naigaon,नायगांव,Western Line,N,Y,19.01378,72.84188
82,Nallasopara,नालासोपारा,Western Line,N,Y,,
83,Neral,नेरळ,Central Line,Y,Y,19.00882,73.02493
84,Nerul,नेरुळ,,N,N,19.00882,73.02493
85,Navade Road,नावडे रोड,Central Line,N,Y,19.05424,73.10211
86,Nhava Sheva,न्हावाशेवा,Nerul–Uran line,,,,
87,Nilaje,निळजे,Central Line,N,Y,19.16387,73.07497
88,Palghar,पालघर,Western Line,Y,Y,,
89,Palasdari,पळसधरी,Central Line,N,Y,,
90,Panvel,पनवेल,Harbour Line,N,Y,18.99129,73.09485
91,Parel,परळ,,N,N,18.99559,72.83902
92,Rabale,रबाळे,Trans-Harbour Line,N,N,19.14668,73.0071
93,Ram Mandir,राम मंदिर,,N,N,19.22675,72.84475
94,Ranjanpada,रांजणपाडा,Nerul–Uran line,,,,
95,Roha,रोहे,Harbour Line,Y,Y,18.44775,73.20229
96,Sagar Sangam,सागरसंगम,Nerul–Uran line,,,19.0083605,73.021779
97,Sandhurst Road,सॅंडहर्स्ट रोड,,N,N,18.96042,72.8366
98,Sanpada,सानपाड़ा,,N,N,19.06056,73.00843
99,Santacruz,सांताक्रूझ,,N,N,19.08315,72.839
100,Seawoods–Darave,सीवूड्स दरावे,,N,N,19.0221923,73.018737566029
101,Saphale,सफाळे,Western Line,Y,Y,19.5771316,72.8218812
102,Sion,शीव,Central Line,N,N,19.04008,72.86682
103,Shahad,शहाड,Central Line,N,Y,19.24156,73.1612
104,Shelu,शेलू,Central Line,N,Y,19.08729,73.30722
105,Thansit,तानशेत,Central Line,N,Y,19.06327,72.88853
106,Targhar,तरघर,Nerul–Uran line,,,18.9920191,73.0384519
107,Thane,ठाणे,,Y,Y,19.17429,73.02302
108,Thakurli,ठाकुर्ली,Central Line,N,Y,19.2255622,73.0968165
109,Titwala,टिटवाळा,Central Line,Y,Y,19.00777,72.83413
110,Turbhe,तुर्भे,Trans-Harbour Line,N,N,19.07383,73.03289
111,Ulhasnagar,उल्हासनगर,Central Line,N,Y,19.22311,73.1685
112,Umbermali,उंबरमाळी,Central Line,N,Y,19.6337517,73.4256215
113,Umroli,उमरोली,Western Line,N,Y,19.7557614,72.7604506
114,Uran City,उरण सिटी,Nerul–Uran line,,,18.878674,72.9494826
115,Wadala Road,वडाळा रोड,Harbour Line,N,N,19.05098,72.87779
116,Vaitarna,वैतरणा,Western Line,N,Y,19.5186517,72.8499772
117,Vangaon,वाणगांव,Western Line,N,Y,18.73723,73.63891
118,Vangani,वांगणी,Central Line,N,Y,19.09192,73.29817
119,Vasai Road,वसई रोड,Western Line,Y,Y,19.3826208,72.8320393
120,Vashi,वाशी,,N,N,19.08006,72.99861
121,Vasind,वाशिंद,Central Line,N,Y,19.4065089,73.2674683
122,Vidyavihar,विद्याविहार,Central Line,N,N,19.07971,72.89452
123,Vikhroli,विक्रोळी,Central Line,Y,N,19.11348,72.93484
124,Vile Parle,विलेपार्ले,,N,N,19.09745,72.84942
125,Virar,विरार,Western Line,Y,Y,19.455298,72.811816
126,Vithalwadi,विठ्ठलवाडी,Central Line,N,Y,19.2202,73.15044
127,Mulund,मुलुंड,Central Line,Y,N,19.17435,72.95063
128,Tilak Nagar,टिळक नगर,Harbour Line,N,N,19.06781,72.89636
129,Sewri,शिवडी,Harbour Line,N,N,18.99636,72.85388
130,Taloja,तळोजे पंचानंद,Central Line,N,Y,19.092,73.12157
131,Pen,पेण,Harbour Line,Y,Y,18.783,73.09572
132,Rasayani,रसायनी,Harbour Line,Y,Y,18.91563,73.17682
133,Nagothane,नागोठणे,Harbour Line,Y,Y,18.5417,73.13863
